Time,Load,Cycle
23.1,4.00517,1
23.2,4.03726,1
23.3,4.06442,1
23.4,4.1232,1
23.5,4.12218,1
23.6,4.19163,1
23.7,4.21718,1
23.8,4.26871,1
23.9,4.26541,1
24.0,4.31715,1
24.1,4.372730000000001,1
24.2,4.39623,1
24.3,4.4287,1
24.4,4.47572,1
24.5,4.52325,1
24.6,4.53872,1
24.7,4.613659999999999,1
24.8,4.65414,1
24.9,4.68752,1
25.0,4.709919999999999,1
25.1,4.76363,1
25.2,4.84976,1
25.3,4.84171,1
25.4,4.89182,1
25.5,4.94041,1
25.6,5.00066,1
25.7,5.03602,1
25.8,5.05848,1
25.9,5.12066,1
26.0,5.15296,1
26.1,5.20648,1
26.2,5.24263,1
26.3,5.32848,1
26.4,5.34829,1
26.5,5.373480000000001,1
26.6,5.4330099999999995,1
26.7,5.47201,1
26.8,5.53325,1
26.9,5.601,1
27.0,5.65436,1
27.1,5.68508,1
27.2,5.72215,1
27.3,5.77147,1
27.4,5.84321,1
27.5,5.880269999999999,1
27.6,5.93404,1
27.7,5.9978,1
27.8,6.05625,1
27.9,6.0689400000000004,1
28.0,6.1426099999999995,1
28.1,6.19761,1
28.2,6.23249,1
28.3,6.2857400000000005,1
28.4,6.33511,1
28.5,6.41018,1
28.6,6.34596,1
28.7,6.42172,1
28.8,6.573169999999999,1
28.9,6.7492,1
29.0,6.77645,1
29.1,6.73755,1
29.2,6.72125,1
29.2198,6.8095300000000005,1
29.3,6.7256800000000005,1
29.4,6.86563,1
29.5,6.99021,1
29.6,7.06722,1
29.7,7.053939999999999,1
29.8,7.02538,1
29.9,7.07563,1
30.0,7.186960000000001,1
30.1,7.32185,1
30.2,7.3570199999999994,1
30.3,7.36755,1
30.4,7.34025,1
30.5,7.353560000000001,1
30.6,7.43842,1
30.7,7.5445199999999994,1
30.8,7.600230000000001,1
30.9,7.61924,1
31.0,7.64619,1
31.1,7.650869999999999,1
31.2,7.7242,1
31.3,7.82872,1
31.4,7.9233,1
31.5,7.956739999999999,1
31.6,7.9722800000000005,1
31.7,8.017489999999999,1
31.8,8.07622,1
31.9,8.15263,1
32.0,8.291739999999999,1
32.1,8.31533,1
32.2,8.28561,1
32.3,8.324539999999999,1
32.4,8.4929,1
32.5,8.649389999999999,1
32.6,8.662189999999999,1
32.7,8.69458,1
32.8,8.682319999999999,1
32.9,8.75152,1
33.0,8.83945,1
33.1,8.98837,1
33.2,9.06443,1
33.3,9.08061,1
33.4,9.11169,1
33.5,9.15475,1
33.6,9.281260000000001,1
33.7,9.34097,1
33.8,9.44778,1
33.9,9.45677,1
34.0,9.50796,1
34.1,9.547039999999999,1
34.2,9.64127,1
34.3,9.757610000000001,1
34.4,9.82451,1
34.5,9.88968,1
34.6,9.913739999999999,1
34.7,9.96977,1
34.8,10.04687,1
34.9,10.14583,1
35.0,10.24426,1
35.1,10.32653,1
35.2,10.384780000000001,1
35.3,10.41496,1
35.4,10.51339,1
35.5,10.59112,1
35.6,10.69454,1
35.7,10.77707,1
35.8,10.84034,1
35.9,10.8981,1
36.0,10.962710000000001,1
36.1,11.05846,1
36.2,11.14502,1
36.3,11.21162,1
36.4,11.30364,1
36.5,11.368360000000001,1
36.6,11.430069999999999,1
36.7,11.51573,1
36.8,11.58694,1
36.9,11.70234,1
37.0,11.75142,1
37.1,11.83751,1
37.2,11.90328,1
37.2538,11.96066,1
37.3,11.9962,1
37.4,12.074000000000002,1
37.5,12.17057,1
37.6,12.24888,1
37.7,12.31301,1
37.8,12.43175,1
37.9,12.50233,1
38.0,12.61556,1
38.1,12.67713,1
38.2,12.76622,1
38.3,12.861189999999999,1
38.4,12.91788,1
38.5,13.03192,1
38.6,13.09562,1
38.7,13.223429999999999,1
38.8,13.298570000000002,1
38.9,13.361920000000001,1
39.0,13.47226,1
39.1,13.53473,1
39.2,13.641079999999999,1
39.3,13.722760000000001,1
39.4,13.837639999999999,1
39.5,13.90434,1
39.6,14.00119,1
39.7,14.098770000000002,1
39.8,14.18304,1
39.9,14.2765,1
40.0,14.359329999999998,1
40.1,14.46538,1
40.2,14.554110000000001,1
40.3,14.62505,1
40.4,14.7347,1
40.5,14.83796,1
40.6,14.925720000000002,1
40.7,15.02235,1
40.8,15.12175,1
40.9,15.240210000000001,1
41.0,15.31445,1
41.1,15.43665,1
41.2,15.522070000000001,1
41.3,15.628470000000002,1
41.4,15.725979999999998,1
41.5,15.83203,1
41.6,15.93249,1
41.7,16.01652,1
41.8,16.13498,1
41.9,16.21146,1
42.0,16.33775,1
42.1,16.40345,1
42.2,16.517210000000002,1
42.3,16.66084,1
42.4,16.755129999999998,1
42.5,16.85934,1
42.6,16.95283,1
42.6008,16.9539,1
42.7,17.07933,1
42.8,17.18593,1
42.9,17.282410000000002,1
43.0,17.40757,1
43.1,17.52572,1
43.2,17.6277,1
43.3,17.716639999999998,1
43.4,17.86596,1
43.5,17.94785,1
43.6,18.05997,1
43.7,18.17125,1
43.8,18.27991,1
43.9,18.39489,1
44.0,18.49755,1
44.1,18.62562,1
44.2,18.72994,1
44.3,18.844070000000002,1
44.4,18.95399,1
44.5,19.064510000000002,1
44.6,19.19099,1
44.7,19.28714,1
44.8,19.42644,1
44.9,19.55558,1
45.0,19.64806,1
45.1,19.7902,1
45.2,19.90771,1
45.3,20.04934,1
45.4,20.15325,1
45.5,20.297060000000002,1
45.6,20.404770000000003,1
45.7,20.51524,1
45.8,20.6595,1
45.9,20.76984,1
46.0,20.92284,1
46.1,21.03527,1
46.2,21.16852,1
46.3,21.28265,1
46.4,21.42145,1
46.5,21.53066,1
46.6,21.64574,1
46.7,21.81985,1
46.7998,21.9238,1
46.8,21.9238,1
46.9,22.07501,1
47.0,22.18749,1
47.1,22.31604,1
47.2,22.45365,1
47.3,22.584889999999998,1
47.4,22.71922,1
47.5,22.84415,1
47.6,22.99196,1
47.7,23.10051,1
47.8,23.251379999999997,1
47.9,23.37953,1
48.0,23.50799,1
48.1,23.65231,1
48.2,23.79435,1
48.3,23.93988,1
48.4,24.07413,1
48.5,24.2273,1
48.6,24.35974,1
48.7,24.50722,1
48.8,24.6617,1
48.9,24.78448,1
49.0,24.911179999999998,1
49.1,25.07115,1
49.2,25.20159,1
49.3,25.35612,1
49.4,25.48542,1
49.5,25.646929999999998,1
49.6,25.789189999999998,1
49.7,25.94416,1
49.8,26.07819,1
49.9,26.22458,1
50.0,26.38924,1
50.1,26.50678,1
50.2,26.697159999999997,1
50.3,26.85799,1
50.3528,26.926540000000003,1
50.4,27.00713,1
50.5,27.15625,1
50.6,27.307159999999996,1
50.7,27.47477,1
50.8,27.6065,1
50.9,27.77999,1
51.0,27.911929999999998,1
51.1,28.08551,1
51.2,28.22478,1
51.3,28.3782,1
51.4,28.54012,1
51.5,28.669890000000002,1
51.6,28.86557,1
51.7,29.00341,1
51.8,29.214470000000002,1
51.9,29.356759999999998,1
52.0,29.540340000000004,1
52.1,29.685509999999997,1
52.2,29.85163,1
52.3,30.022709999999996,1
52.4,30.176040000000004,1
52.5,30.359440000000003,1
